"occ","y4_hhid","indidy4","hh_b01","hh_b02","hh_b03_1","hh_b03_2","hh_b04","hh_b05","hh_b06","hh_b07","hh_b08","hh_b09_1","hh_b09_2","hh_b10","hh_b11","hh_b12","hh_b13","hh_b14","hh_b15","hh_b16","hh_b17","hh_b18","hh_b19","hh_b20","hh_b21_1","hh_b21_2","hh_b21_3","hh_b21_4","hh_b22","hh_b23_1","hh_b23_2","hh_b23_3","hh_b23_4","hh_b24","hh_b25","hh_b26","hh_b27_1","hh_b27_2","hh_b27_3","hh_b28","hh_b29_1","hh_b29_2","hh_b29_3"
1,"1000-001",1,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",67,1,99,1,31,1,,0,1,98,63,1,98,57,1,1,7,,,,,,,,,,,,,52,"ARUMERU",2,2,4,"ARUMERU",2,2
2,"1000-001",2,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",40,3,99,1,31,1,,0,7,1,,,98,29,1,1,6,,,,,,,,,,,,,99,,,,,,,
3,"1000-001",3,"**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",37,3,99,1,31,1,,0,1,1,,,98,26,1,1,4,,,,,,,,,,,,,99,,,,,,,
4,"1000-001",4,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",32,3,99,1,31,1,,0,1,1,,,98,21,1,1,6,,,,,,,,,,,,,99,,,,,,,
5,"1000-001",5,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",29,3,99,1,31,1,,0,7,1,,,98,18,1,1,4,,,,,,,,,,,,,99,,,,,,,
6,"1000-001",6,"**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",27,3,99,2,7,2,,10,14,1,,,98,16,1,1,6,,,,,,,,,,,,,99,,,,,,,
1,"1001-001",1,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",41,1,99,1,31,1,,0,1,98,25,1,97,,7,1,1,1,2,,,,1,2,,,,2,,99,,,,,,,
2,"1001-001",2,"**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",38,2,99,1,31,1,,0,1,97,,2,97,,3,1,1,1,2,,,,1,1,,,,2,,99,,,,,,,
3,"1001-001",3,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",16,3,99,1,31,1,,0,11,1,,,2,,,1,6,,,,,,,,,,,,,99,,,,,,,
4,"1001-001",4,"**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",14,3,99,1,31,1,,0,14,1,,,2,,,1,6,,,,,,,,,,,,,99,,,,,,,
5,"1001-001",5,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",11,3,99,1,31,1,,0,14,1,,,2,,,2,,,,,,,,,,,,,,,,,,,,,
6,"1001-001",6,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",7,3,99,1,31,1,,0,11,1,,,2,,,2,,,,,,,,,,,,,,,,,,,,,
7,"1001-001",7,"**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,3,99,1,31,1,,0,17,1,,,2,,,2,,,,,,,,,,,,,,,,,,,,,
1,"1002-001",1,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",72,1,99,1,31,1,,0,1,98,48,1,98,71,1,1,1,3,3,,,,1,2,,,,2,,99,,,,,,,
2,"1002-001",2,"**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",64,2,99,1,31,1,,0,1,98,34,1,98,30,1,1,1,1,3,,,,1,1,,,,2,,44,"ARUMERU",2,2,3,"ARUMERU",2,2
3,"1002-001",3,"**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",27,3,99,1,31,1,,0,1,1,,,2,,,1,6,,,,,,,,,,,,,99,,,,,,,
1,"1003-001",1,"**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",56,1,99,1,30,1,,0,1,98,34,1,97,,1,1,1,1,3,,,,2,,,,,1,,99,,,,,,,
2,"1003-001",2,"**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",34,3,99,1,30,1,,8,1,97,,1,1,,,1,5,,,,,,,,,,,,,99,,,,,,,
3,"1003-001",3,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",15,3,99,1,30,1,,0,1,97,,1,1,,,1,6,,,,,,,,,,,,,99,,,,,,,
1,"1005-001",1,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",37,1,99,1,30,1,,0,1,97,,1,97,,1,1,1,1,2,,,,1,2,,,,2,,99,,,,,,,
2,"1005-001",2,"**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",28,2,99,1,30,1,,0,10,97,,2,97,,1,1,1,1,2,,,,1,1,,,,2,,99,,,,,,,
3,"1005-001",3,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",5,3,99,1,30,1,,0,17,1,,,2,,,2,,,,,,,,,,,,,,,,,,,,,
4,"1005-001",4,"**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",3,3,99,1,30,1,,0,17,1,,,2,,,2,,,,,,,,,,,,,,,,,,,,,
1,"1006-001",1,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",52,1,99,1,30,1,,0,1,98,45,1,97,,1,1,1,1,2,,,,1,2,,,,2,,99,,,,,,,
2,"1006-001",2,"**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",45,2,99,1,30,1,,0,1,97,,2,97,,1,1,1,1,2,,,,1,1,,,,2,,99,,,,,,,
3,"1006-001",3,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",23,3,99,1,30,1,,0,9,1,,,2,,,1,6,,,,,,,,,,,,,99,,,,,,,
4,"1006-001",4,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",21,3,99,1,22,1,,0,7,1,,,2,,,1,6,,,,,,,,,,,,,99,,,,,,,
5,"1006-001",5,"**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",19,3,99,1,30,1,,0,14,1,,,2,,,1,6,,,,,,,,,,,,,99,,,,,,,
6,"1006-001",6,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",9,3,99,1,30,1,,0,14,1,,,2,,,2,,,,,,,,,,,,,,,,,,,,,
7,"1006-001",7,"**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",7,3,99,1,30,1,,0,14,1,,,2,,,2,,,,,,,,,,,,,,,,,,,,,
1,"1007-001",1,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",23,1,99,1,30,1,,1,1,98,18,3,97,,1,1,3,,,,,,1,2,,,,2,,99,,,,,,,
2,"1007-001",2,"**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",21,2,99,1,30,1,,0,11,97,,5,97,,3,1,3,,,,,,1,1,,,,2,,1,"ARUMERU",2,2,4,"ARUMERU",2,2
3,"1007-001",3,"**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",0,3,99,1,30,1,,0,17,1,,,2,,,2,,,,,,,,,,,,,,,,,,,,,
